filename,A_HOMO_LUMO,B_HOMO_LUMO,A_Dipole,B_Dipole,mean_CN,mean_NDV,max packing efficiency,density,vpa,packing fraction,SC_atom,SC_cell,E_els,E_x,E_rep,E_orb,E_DFTc,E_dc,polarity
TIVDAF.cif,2.691186,3.690923,5.5765,5.6192,6.07782334,0.341073982,0.073267417,1.565025521,11.19739544,0.098064004,5.392317423,905.909327,-96.89,-19.36,71.43,-35.48,-10.41,-11.6,1
UMIQIR.cif,2.948338,5.264189,0.0009,0.0005,7.361719097,0.30681283,0.079776222,1.630693091,10.76430062,0.099690475,3.906890596,117.2067179,-24.28,-14.13,48.72,-16.18,-6.36,-4.07,0
UVUSEK.cif,2.775822,5.724804,5.1633,3.6436,6.972056719,0.316608716,0.078310922,1.606200566,10.92844258,0.098193153,5.906890596,1417.653743,-58.27,-8.42,30.73,-12.21,-5.17,-3.67,0
UWUJOM.cif,2.727673,4.332803,5.2494,4.7884,6.455671271,0.315551915,0.078424701,1.581926488,10.31903882,0.09951333,5.321928095,851.5084952,-91.84,-16.18,56.49,-31.45,-7.42,-5.8,0
UWUJUS.cif,2.721366,3.991596,5.4105,4.8146,7.185706606,0.314866753,0.078034814,1.57421347,10.369598,0.099028132,5.321928095,425.7542476,-93.12,-18.16,63.37,-35.93,-7.34,-5.55,0
UWUJUS01.cif,2.734818,3.997439,5.4263,4.8154,7.093656247,0.315820074,0.082782405,1.549007691,10.53833427,0.097442527,5.321928095,425.7542476,-57.62,-0.93,5.93,-7.79,-2,-2.65,0
UWUJUS02.cif,2.714935,3.992894,5.5113,4.8078,7.112358459,0.318426219,0.078278241,1.574473533,10.3678852,0.099044492,5.321928095,425.7542476,-93.85,-18.79,65.41,-36.92,-7.41,-5.55,0
UWUKAZ.cif,2.767151,4.045386,5.1415,5.2268,6.878893422,0.32154585,0.075536067,1.54284885,10.58040186,0.097055096,5.321928095,425.7542476,-88.91,-14.57,51.41,-28.09,-7.85,-6.81,1
UWUKAZ01.cif,2.710418,4.161452,5.2087,4.1734,6.676595686,0.320218375,0.078613959,1.501508058,10.87171045,0.094454495,5.321928095,851.5084952,-101.31,-36.44,123.08,-47.14,-12.02,-9.64,0
UWUKAZ03.cif,2.757294,4.042311,5.1046,5.1096,6.994934563,0.318641534,0.07700381,1.553655985,10.50680524,0.097734934,6.321928095,1011.508495,-89.89,-15.78,56.18,-29.97,-8.33,-7.26,0
VAQHUS.cif,2.74129,4.275726,5.3934,4.6515,7.47364109,0.299357744,0.076358606,1.374496253,9.943561912,0.087530566,5.857980995,679.5257954,-92.15,-18.4,66.42,-35.71,-9,-8.8,0
VIPYAX.cif,2.948859,6.456284,0.0013,5.3457,6.856420602,0.321378842,0.077552921,1.746164265,10.79256976,0.102123539,4.700439718,488.8457307,-25.495,-13.56,46.5,-16.44,-6.03,-3.28,0
WADVAA.cif,2.792665,9.57743,4.8394,1.062,8.159863012,0.271783945,0.075318757,1.441045137,9.928278594,0.088134193,5.169925001,372.2346001,-90.84,-11.29,41.2,-23.2,-7.19,-5.85,0
WATREP.cif,2.941359,5.294902,0.0011,0.0002,7.725146266,0.316210565,0.079822894,1.523302746,10.45209695,0.093889338,4.169925001,300.2346001,-23.89,-14.76,51.2,-18.04,-6.1,-5.25,0
