drug_id,t-SNE Feature 1,t-SNE Feature 2
KOJZOA.search1.cif,3.3495204,38.6046
PEHWUV.search1.cif,35.459564,23.250153
XOBHAY.search1.cif,35.212437,-43.03461
HOCNIX.search1.cif,23.352816,5.3474054
CIDTUE01.search1.cif,21.631086,71.15046
VAQTOW.search1.cif,-4.3330097,-88.23248
PINJII.search1.cif,-43.27573,-2.243843
WOTNOK.search1.cif,2.725719,-31.987797
CEKBUP.search1.cif,60.9935,-9.019159
KUSXIF.search1.cif,12.1943035,50.04864
CONLIB.search1.cif,11.363028,-21.902206
VOMGUA.search1.cif,29.957108,-61.599575
NAQPIH.search1.cif,-16.21145,-14.109523
RUSQUT.search1.cif,-14.500449,28.901333
IYAGOG.search1.cif,25.158943,35.070763
VOPQEZ.search1.cif,-65.08076,4.957871
UQIBUT.search1.cif,56.584976,38.66695
DEDVEO.search1.cif,-18.816898,25.239483
SOFTAJ.search1.cif,-75.19039,23.919098
HOWXAV03.search1.cif,-72.89533,-1.1569256
NUHYEU.search1.cif,-64.48664,30.802246
BOQTUW01.search1.cif,-64.39553,32.45232
FALQOZ.search1.cif,-15.915273,52.11598
EDUYUA.search1.cif,-14.756486,11.230656
RONBAA.search1.cif,-45.21284,-5.411032
AWISOO.search1.cif,-3.5318418,-12.639449
TCQPEN10.search1.cif,10.259107,-82.93889
RUNROK.search1.cif,-42.449394,-23.951418
VIHKUU.search1.cif,29.320383,-53.887115
OKELOG.search1.cif,-56.877354,48.512794
XEDTEF.search1.cif,22.337954,70.14104
LAKXUS.search1.cif,21.9845,-46.871006
HPYRPA.search1.cif,-4.6857796,36.482212
BUYFEI.search1.cif,43.91253,23.018023
VIPYUR.search1.cif,67.51961,-0.8942097
NOKWOZ.search1.cif,-23.003283,44.430202
PESHIG.search1.cif,53.5368,0.1046513
KECMAJ.search1.cif,-69.90228,31.315022
TEFSED.search1.cif,37.743153,-7.5536437
VAKVIN.search1.cif,-38.645706,-0.59098876
YUGFIP.search1.cif,32.568,26.33822
PUBMUX.search1.cif,4.880087,-21.273659
NEWROX.search1.cif,-93.52147,28.735952
PUTSUT.search1.cif,60.979816,-3.7545576
XUHHAL.search1.cif,16.639374,-0.70905685
PYRBZQ.search1.cif,61.503273,-9.348327
WOCHON01.search1.cif,-25.387732,-45.940533
EMEKOX.search1.cif,3.2079253,35.56136
OKUQER.search1.cif,-33.07635,23.313122
QINQOV.search1.cif,2.6667712,-32.061646
VIRYOM.search1.cif,-57.366936,39.977993
GUMLIM.search1.cif,-41.095207,29.235266
MASWEK.search1.cif,-5.9134693,-15.42111
CUDCEM.search1.cif,-54.789165,41.276283
DATFEL.search1.cif,-31.022648,5.343003
QAZGOO.search1.cif,4.2711935,78.84468
RIFQAY.search1.cif,-53.54464,-35.83245
XOFWUK.search1.cif,14.349015,9.43721
SETROA.search1.cif,-57.617455,51.50618
ULOKOV.search1.cif,-54.22073,-12.565612
YIBFUN.search1.cif,15.383574,56.92367
EYERIL.search1.cif,31.452326,41.61132
MUPPOD.search1.cif,39.381058,-29.105366
ZIZRUX01.search1.cif,-24.587164,-49.942616
RAKNOJ.search1.cif,55.997852,23.75658
AGIGEF.search1.cif,85.347595,-20.410833
EVUZEA.search1.cif,-1.5393875,69.48963
FIMLAR.search1.cif,29.765215,-84.50665
FAFGOL03.search1.cif,-3.1872597,-38.734356
UFUHUZ.search1.cif,1.6444082,29.770628
QUHRUJ.search1.cif,-15.538714,19.994041
BULKEA.search1.cif,-83.60572,-5.3157487
TIFTAD.search1.cif,-4.735041,-41.421947
SEPDOH.search1.cif,86.338234,-20.93058
LIPPIL.search1.cif,44.671417,23.951332
QOLQIU.search1.cif,21.75382,-59.833855
PEXPEP.search1.cif,-12.315245,-59.049305
WEDXIP.search1.cif,-4.9860487,-28.03029
JALDIM.search1.cif,33.27761,-63.897396
NOPDAY.search1.cif,33.2639,3.9797032
UMUKOD.search1.cif,-5.646073,48.408524
TUPLUN.search1.cif,23.879234,25.520569
UGICAR.search1.cif,-91.456825,16.19261
RUCFEB.search1.cif,-61.106953,56.364864
ACOPUG.search1.cif,-79.2518,23.093197
ITOCAV.search1.cif,44.93943,-46.761234
BUVZIC.search1.cif,40.277515,-31.281712
CEVQOM.search1.cif,49.80543,34.993786
AKASEK.search1.cif,-91.717155,9.29054
SECYOR.search1.cif,-22.553644,-4.650553
YIZGIA.search1.cif,-24.863834,-51.70208
ETIYUC.search1.cif,27.653128,52.001667
YOVDOE.search1.cif,-16.601395,-54.94395
QUFQAL.search1.cif,68.81335,9.074989
YACFEQ.search1.cif,-13.755708,-47.625126
XOHWUN.search1.cif,34.624897,-62.70036
ABEDES.search1.cif,56.986588,-23.011263
CIBVAL.search1.cif,0.9597579,62.324535
SEMWAJ.search1.cif,20.293493,8.588442
CATJUE.search1.cif,55.04728,-21.787373
SOQCOQ.search1.cif,-5.7174516,-33.986492
SIDVOS.search1.cif,58.24649,-18.271872
UNISUG01.search1.cif,-26.323486,-42.94002
DOSPAE.search1.cif,8.21055,-44.38082
ALAHEA01.search1.cif,-0.7743525,38.5111
KOZZAD.search1.cif,20.95897,-63.748894
ULAWAF05.search1.cif,-66.59337,27.364649
ZAZLER.search1.cif,51.29456,-24.362402
MUCZUI.search1.cif,35.109703,-62.67933
BEFZAO.search1.cif,2.3667216,58.20953
REDSUR.search1.cif,0.8642957,-54.809372
YUNMEB.search1.cif,57.903942,27.823639
COZZOH.search1.cif,-33.307392,-15.81466
GURHUW.search1.cif,-5.666133,-45.848827
KONMUX.search1.cif,51.489147,1.670508
QUFKEI.search1.cif,19.553673,-37.253315
KOHYAJ.search1.cif,71.79555,1.7537125
PINHID.search1.cif,69.19868,-28.0582
FOHPUP.search1.cif,-88.92909,8.702355
MADGIK.search1.cif,-11.226341,-12.429939
ACOGII.search1.cif,-50.896763,1.2595018
EXEJUN.search1.cif,46.608044,-16.513018
BUNHUP.search1.cif,-25.702215,-61.62745
FERRAX.search1.cif,43.879753,-4.8846593
GIVYUI.search1.cif,-38.48431,33.601784
ZANQOX.search1.cif,-48.86467,-33.014503
TOLXUQ.search1.cif,4.016855,-38.740868
NUKZAV01.search1.cif,-58.497314,49.525898
EZAQED.search1.cif,-65.2521,4.864271
GUPBEB.search1.cif,25.683569,4.768652
CAVDAG.search1.cif,11.144961,-22.717703
LICBIK01.search1.cif,-20.980883,-57.66279
CAFTEI.search1.cif,42.67291,18.351954
OMEKIC.search1.cif,-6.4320593,-27.976816
DOSPIM.search1.cif,7.258568,-42.01838
XIHKAC.search1.cif,38.26122,52.375793
NOLBOI01.search1.cif,16.597773,-30.910837
JORJOP.search1.cif,-10.039727,45.086754
YUJTOP.search1.cif,-23.276415,-9.605082
DESDIO.search1.cif,73.26228,-21.883768
OMEVUX.search1.cif,47.603157,37.153667
QUWZOY.search1.cif,43.110798,-54.24195
MUDFUN.search1.cif,-18.016933,54.557198
KITXER.search1.cif,29.152424,35.03944
NUKYOI.search1.cif,-59.7629,45.085125
OMOPEM.search1.cif,59.593452,28.04718
SELGIB.search1.cif,3.9314146,44.818386
FARVEB.search1.cif,42.54152,24.66252
VAXRAP.search1.cif,32.899414,-46.640965
NEWPEL.search1.cif,-3.4047372,32.9532
JAQGOY.search1.cif,3.1622324,38.35222
VIRSUM.search1.cif,-55.481277,41.293133
FAKKUA.search1.cif,-24.040195,-50.06205
CUSZUM.search1.cif,38.22622,50.506214
WIFZOC.search1.cif,-37.02655,32.788532
BEJNEM.search1.cif,45.19271,-17.702177
CLAHMB.search1.cif,1.8752593,-2.027374
WATREP.search1.cif,2.8119404,-0.24396373
JOMHOL.search1.cif,-83.781364,15.473365
IWONIT.search1.cif,-68.23536,9.852441
RAGKOZ.search1.cif,58.714046,31.086903
VOXDIV.search1.cif,48.078983,42.436512
GUCHAP.search1.cif,54.41083,44.226337
AXILUQ.search1.cif,-72.93685,19.783516
MOHVEK.search1.cif,38.147816,41.223183
JUWHIU.search1.cif,-76.06945,25.676977
EFUDOA.search1.cif,30.772173,-74.88844
COZYOG02.search1.cif,-67.03501,13.031522
KEFBAZ.search1.cif,-95.21929,28.09412
RESMAF.search1.cif,18.71198,56.26897
EWANIA.search1.cif,-42.866615,0.9161256
MERDAO.search1.cif,-53.387863,-10.288455
WEXXON02.search1.cif,17.419376,-71.956505
IQIKUQ.search1.cif,-37.560925,-14.603015
OJEGUI.search1.cif,61.054825,-29.738586
MOHKOJ.search1.cif,-92.87141,6.48895
AYEXEJ.search1.cif,71.52303,13.409171
NAKZIL.search1.cif,-35.90635,-2.5665398
DOPNAZ.search1.cif,-24.952343,-48.489475
QIHCIT01.search1.cif,48.665447,15.968838
DEWVEJ.search1.cif,54.451492,38.37452
UCEXIJ.search1.cif,-17.261885,48.880325
XOJLOZ.search1.cif,34.163002,54.198772
PURDUD.search1.cif,41.15164,-9.862819
SUCTAN02.search1.cif,-86.2773,35.76984
SMZTMP.search1.cif,13.785354,-38.51698
VUWQIP.search1.cif,31.97101,-55.45378
CEBYIT.search1.cif,28.429104,32.28537
TUPFUF.search1.cif,18.348145,28.673761
VUWQOV.search1.cif,30.566011,-55.34745
OGOMAB.search1.cif,65.9594,17.778965
PESROV01.search1.cif,18.647984,-77.60696
DASHIR.search1.cif,27.835066,59.59119
COJGIT.search1.cif,26.814478,19.141504
EHISUK.search1.cif,55.371227,41.729404
RADFOS.search1.cif,-10.924157,-56.029736
COPYUD.search1.cif,10.949976,-22.612177
XAKTOT.search1.cif,69.69281,-26.547401
DAWRUP.search1.cif,5.648118,30.300684
RUGYID.search1.cif,28.093533,43.14319
WUKREZ.search1.cif,36.13313,-45.129753
DOGQEV.search1.cif,0.47627968,31.752668
XOLHUC02.search1.cif,-22.956139,-12.972338
PUBNAE.search1.cif,4.795765,-21.12793
XERCIJ.search1.cif,29.673344,-74.70369
XIYNEB.search1.cif,44.298965,7.5879908
DUTSOB.search1.cif,30.977392,-46.824688
TIPWIY04.search1.cif,-103.14475,29.723236
EYASUS.search1.cif,-22.44934,43.2953
UCESAZ.search1.cif,-48.496628,-1.198582
QIMHOJ01.search1.cif,-75.04305,22.258099
NEHDIQ.search1.cif,58.22761,-27.426935
VAGVAD.search1.cif,-5.196115,-27.892838
FAFGUR.search1.cif,-19.46972,0.29248628
POXVEF.search1.cif,-14.494687,11.757406
WAQZUM.search1.cif,7.1397038,28.460983
XUNSOP.search1.cif,-98.965775,29.657406
BIJBIH.search1.cif,56.017593,-11.5075
KOMSAG.search1.cif,16.02026,43.374775
LINTUZ.search1.cif,30.531847,-5.818845
WOKQAP.search1.cif,14.659498,1.5677477
